list_code,list_title,mapped_category,mapped_subcategory
BE-00-00-00-00,"Public Benefits",Administrative Law,General (State)
BE-01-00-00-00,"Disability public benefits",Administrative Law,SSD (Social Security Disability)
BE-01-01-00-00,"State and local benefits for the disabled",Administrative Law,General (State)
BE-01-02-00-00,"Social Security Disability Insurance (SSDI)",Administrative Law,SSD (Social Security Disability)
BE-01-03-00-00,"Supplemental Security Income (SSI)",Administrative Law,Social Security/SSI
BE-01-03-00-00,"Overpayment of Social Security",Administrative Law,SSD (Social Security Disability)
BE-01-04-00-00,"In-home supportive service disability benefits",Administrative Law,Medicare/Medicaid
BE-02-00-00-00,"Food and Cash benefits",Administrative Law,Welfare
BE-02-01-00-00,"SNAP (Food Stamp) benefits",Administrative Law,Welfare
BE-02-01-01-00,"Eligibility and Applications for SNAP (food stamp) benefits",Administrative Law,Welfare
BE-02-01-01-01,"Determining eligibility for SNAP (food stamp) benefits",Administrative Law,Welfare
BE-02-01-01-02,"Expedited issuance of SNAP benefits",Administrative Law,Welfare
BE-02-01-01-03,"Immigrants' Eligibility for SNAP benefits",Administrative Law,Welfare
BE-02-01-01-04,"Disability and eligibility for SNAP food stamps",Administrative Law,Welfare
BE-02-01-02-00,"Emergency SNAP (food stamp) benefits",Administrative Law,Welfare
BE-02-01-03-00,"Electronic Benefits Transfer (EBT) system and cards",Administrative Law,Welfare
BE-02-01-04-00,"Fraud in getting SNAP benefits",Administrative Law,Welfare
BE-02-01-05-00,"Being charged with Intentional Program Violations of SNAP",Administrative Law,Welfare
BE-02-01-06-00,"Underpayment of SNAP benefits",Administrative Law,Welfare
BE-02-01-07-00,"Overpayment and Recoupment of SNAP benefits",Administrative Law,Welfare
BE-02-01-08-00,"Reduction or Termination of SNAP benefits",Administrative Law,Welfare
BE-02-02-00-00,"Temporary Assistance for Needy Families benefits (TANF)",Administrative Law,Welfare
BE-02-02-01-00,"Applications and Eligibility for TANF",Administrative Law,Welfare
BE-02-02-01-01,"Application process for TANF benefits",Administrative Law,Welfare
BE-02-02-01-02,"Eligibility standards for TANF benefits",Administrative Law,Welfare
BE-02-02-01-03,"Income, assets, and eligibility for TANF benefits",Administrative Law,Welfare
BE-02-02-01-04,"Available income for TANF benefits",Administrative Law,Welfare
BE-02-02-01-05,"Income disregards for TANF benefits",Administrative Law,Welfare
BE-02-02-01-06,"Assets and resources' effect on TANF benefits eligibility",Administrative Law,Welfare
BE-02-02-01-07,"Defining the family unit for TANF eligibility",Administrative Law,Welfare
BE-02-02-01-08,"Immigrants' Eligibility for TANF benefits",Administrative Law,Welfare
BE-02-02-01-09,"Residency requirements to receive TANF",Administrative Law,Welfare
BE-02-02-01-11,"Teen parents' eligibility for TANF",Administrative Law,Welfare
BE-02-02-03-00,"Amount of money received through TANF",Administrative Law,Welfare
BE-02-02-03-01,"Child-Only TANF benefit calculations",Administrative Law,Welfare
BE-02-02-03-02,"Child exclusions and family caps for TANF benefit calculations",Administrative Law,Welfare
BE-02-02-03-03,"Money sanctions for TANF recipients",Administrative Law,Welfare
BE-02-02-03-04,"Housing or Shelter Allowance on TANF",Administrative Law,Welfare
BE-02-02-03-05,"TANF standards to calculate financial need",Administrative Law,Welfare
BE-02-02-03-06,"TANF amounts for support services",Administrative Law,Welfare
BE-02-02-04-00,"TANF and child support obligations",Family Law,Child Support/Modification
BE-02-02-05-00,"TANF diversion programs ",Administrative Law,Welfare
BE-02-02-05-01,"Lump Sum Payments to TANF applicants",Administrative Law,Welfare
BE-02-02-06-00,"Appealing a TANF benefits decision",Administrative Law,General (State)
BE-02-02-06-01,"Due process protections around TANF",Administrative Law,General (State)
BE-02-02-07-00,"Receiving TANF benefits through electronic benefits transfer (EBT)",Administrative Law,Welfare
BE-02-02-08-00,"Emergency TANF benefits",Administrative Law,Welfare
BE-02-02-09-00,"Fraud in receiving TANF benefits",Administrative Law,Welfare
BE-02-02-10-00,"Requirements to stay on TANF benefits",Administrative Law,Welfare
BE-02-02-10-01,"Job search requirements for TANF benefits",Administrative Law,Welfare
BE-02-02-10-04,"TANF Assessments and Individual Responsibility Plans",Administrative Law,Welfare
BE-02-02-10-05,"TANF work requirements and education or vocational training",Administrative Law,Welfare
BE-02-02-11-00,"Over- or Under-payment of TANF Benefits",Administrative Law,Welfare
BE-02-02-11-01,"Overpayment and Recoupment of TANF Benefits",Administrative Law,Welfare
BE-02-02-11-02,"Underpayment of TANF benefits",Administrative Law,Welfare
BE-02-02-12-00,"Termination of TANF benefits",Administrative Law,Welfare
BE-02-02-12-01,"Time limit on receiving TANF",Administrative Law,Welfare
BE-02-03-00-00,"General Assistance from a state or local government",Administrative Law,General (State)
BE-02-04-00-00,"Supplemental Food Program for Women, Infants and Children (WIC)",Administrative Law,Welfare
BE-02-05-00-00,"State Funded Cash Assistance",Administrative Law,General (State)
BE-02-06-00-00,"Appealing a food or cash benefits decision",Administrative Law,General (State)
BE-03-00-00-00,"Health public benefits and medical assistance programs",Administrative Law,Medicare/Medicaid
BE-03-01-00-00,"State and Local Medical assistance programs ",Administrative Law,General (State)
BE-03-02-00-00,"Medicaid health coverage",Administrative Law,Medicare/Medicaid
BE-03-02-01-00,"Medicaid Home And Community Based Services",Administrative Law,Medicare/Medicaid
BE-03-02-01-01,"Traumatic Brain Injury Waiver program for Medicaid",Administrative Law,Medicare/Medicaid
BE-03-02-02-00,"Eligibility and applications for Medicaid",Administrative Law,Medicare/Medicaid
BE-03-02-02-02,"Application process for Medicaid",Administrative Law,Medicare/Medicaid
BE-03-02-02-03,"Asset Limits for Medicaid eligibility",Administrative Law,Medicare/Medicaid
BE-03-02-02-04,"Available Income and eligibility for Medicaid",Administrative Law,Medicare/Medicaid
BE-03-02-02-06,"Spend Down strategy to be eligible for Medicaid",Wills & Trusts,Medicare/Medicaid Planning
BE-03-02-02-07,"Transferring assets to qualify for Medicaid",Wills & Trusts,Medicare/Medicaid Planning
BE-03-02-03-00,"Medicaid coverage of particular procedures or treatments",Administrative Law,Medicare/Medicaid
BE-03-02-03-01,"Medicaid coverage of abortion",Administrative Law,Medicare/Medicaid
BE-03-02-03-02,"Medicaid coverage of breast and cervical cancer treatment",Administrative Law,Medicare/Medicaid
BE-03-02-03-03,"Medicaid coverage of birth control and family planning",Administrative Law,Medicare/Medicaid
BE-03-02-03-04,"Medicaid coverage of dental services",Administrative Law,Medicare/Medicaid
BE-03-02-03-05,"Medicaid coverage of Durable Medical Equipment",Administrative Law,Medicare/Medicaid
BE-03-02-03-06,"Medicaid coverage of optical services",Administrative Law,Medicare/Medicaid
BE-03-02-03-07,"Medicaid coverage of prescriptions",Administrative Law,Medicare/Medicaid
BE-03-02-03-08,"Medicaid coverage of nursing home care and assistance",Wills & Trusts,Long-Term Care Issues
BE-03-02-04-00,"Appealing Medicaid decisions",Administrative Law,Medicare/Medicaid
BE-03-02-04-01,"Appealing Medicaid coverage decision",Administrative Law,Medicare/Medicaid
BE-03-02-04-02,"Appealing Medicaid decision on eligibility",Administrative Law,Medicare/Medicaid
BE-03-02-05-00,"Cost-sharing, Premiums, and Out-of-Pocket costs on Medicaid",Administrative Law,Medicare/Medicaid
BE-03-02-06-00,"Being eligible for both Medicaid and Medicare",Administrative Law,Medicare/Medicaid
BE-03-02-07-00,"Medicaid Overpayment and Recoupment",Administrative Law,Medicare/Medicaid
BE-03-02-08-00,"Suing to enforce the Medicaid Act",Administrative Law,General (Federal)
BE-03-02-09-00,"Termination of Medicaid",Administrative Law,Medicare/Medicaid
BE-03-02-10-00,"Underpayment by Medicaid",Administrative Law,Medicare/Medicaid
BE-03-02-11-00,"Medicaid and child support obligations",Family Law,Child Support/Modification
BE-03-03-00-00,"Medicare health coverage",Administrative Law,Medicare/Medicaid
BE-03-03-01-00,"Eligibility and Applications for Medicare",Administrative Law,Medicare/Medicaid
BE-03-03-01-01,"Application process for Medicare",Administrative Law,Medicare/Medicaid
BE-03-03-01-02,"Income limits on Medicare eligibility",Administrative Law,Medicare/Medicaid
BE-03-03-02-00,"Appealing Medicare decisions",Administrative Law,Medicare/Medicaid
BE-03-03-02-01,"Appealing Medicare coverage decisions",Administrative Law,Medicare/Medicaid
BE-03-03-02-02,"Appealing Medicare eligibility decision",Administrative Law,Medicare/Medicaid
BE-03-03-03-00,"Medicare coverage of particular procedures or treatments",Administrative Law,Medicare/Medicaid
BE-03-03-03-01,"Medicare coverage of extended care, rehab, and nursing care",Administrative Law,Medicare/Medicaid
BE-03-03-03-02,"Medicare coverage of hospital services",Administrative Law,Medicare/Medicaid
BE-03-03-03-04,"Medicare coverage of skilled nursing care",Administrative Law,Medicare/Medicaid
BE-03-03-04-00,"Cost-sharing, Premiums, and Out-of-Pocket costs on Medicare",Administrative Law,Medicare/Medicaid
BE-03-03-05-00,"Termination of Medicare coverage",Administrative Law,Medicare/Medicaid
BE-03-03-06-00,"Underpayment by Medicare program",Administrative Law,Medicare/Medicaid
BE-03-03-07-00,"Overpayment and recoupment of Medicare payments",Administrative Law,Medicare/Medicaid
BE-03-03-08-00,"Medigap Supplement Insurance for Medicare beneficiaries",Consumer Law,Insurance
BE-03-03-09-00,"Medicare Part A for inpatient care",Administrative Law,Medicare/Medicaid
BE-03-03-10-00,"Medicare Part B for outpatient services and equipment",Administrative Law,Medicare/Medicaid
BE-03-03-11-00,"Medicare Part C (Medicare Advantage)",Administrative Law,Medicare/Medicaid
BE-03-03-12-00,"Medicare Part D for prescription drugs",Administrative Law,Medicare/Medicaid
BE-03-05-00-00,"Children's Health Insurance Programs (CHIP) for kids and pregnant women",Administrative Law,Medicare/Medicaid
BE-03-05-01-00,"Eligibility for Children's Health Insurance Programs",Administrative Law,Medicare/Medicaid
BE-03-05-02-00,"Appealing denial of CHIP coverage",Administrative Law,Medicare/Medicaid
BE-03-05-03-00,"Dental services through CHIP",Administrative Law,Medicare/Medicaid
BE-03-05-04-00,"Coverage of health issues on CHIP",Administrative Law,Medicare/Medicaid
BE-03-05-05-00,"Early Periodic Screening, Diagnosis, and Treatment program for children",Administrative Law,Medicare/Medicaid
BE-03-05-06-00,"Children's protections against Lead Poisoning and Asthma",General Litigation,Health Law/HIPAA
BE-03-07-00-00,"Prescription Drug payment assistance",Administrative Law,Medicare/Medicaid
BE-04-00-00-00,"Unemployment Benefits, Compensation, and Insurance",Administrative Law,Unemployment
BE-04-01-00-00,"Applying for Unemployment Insurance benefits",Administrative Law,Unemployment
BE-04-02-00-00,"Eligibility for Unemployment benefits",Administrative Law,Unemployment
BE-04-02-01-00,"'Ability to Work' criteria for Unemployment benefits",Administrative Law,Unemployment
BE-04-02-02-00,"Eligibility for unemployment benefits if you quit",Administrative Law,Unemployment
BE-04-02-03-00,"Eligibility for unemployment benefits after misconduct",Administrative Law,Unemployment
BE-04-03-00-00,"Unemployment Benefit amounts and time-lengths",Administrative Law,Unemployment
BE-04-04-00-00,"Termination of Unemployment Benefits",Administrative Law,Unemployment
BE-04-04-01-00,"Termination of unemployment benefits for turning down a job",Administrative Law,Unemployment
BE-04-04-02-00,"Termination of unemployment benefits for unavailability for work",Administrative Law,Unemployment
BE-04-05-00-00,"Denial or Disqualification from unemployment benefits",Administrative Law,Unemployment
BE-04-06-00-00,"Unemployment benefits hearings to contest a decision",Administrative Law,Unemployment
BE-04-07-00-00,"Overpayment and Recoupment of unemployment benefits",Administrative Law,Unemployment
BE-04-10-00-00,"Unemployment Benefits during a public health emergency",Administrative Law,Unemployment
BE-05-00-00-00,"Utilities, Energy, and Heating benefits at home",Administrative Law,Utilities
BE-05-01-00-00,"Help with Internet costs (Affordable Connectivity Program)",Administrative Law,Utilities
BE-06-00-00-00,"Public Benefits for Veterans and Military",Administrative Law,Military/Veterans
BE-06-01-00-00,"Disability benefits for veterans and military",Administrative Law,Military/Veterans
BE-06-02-00-00,"Appealing Veterans Affairs Benefits Decision",Administrative Law,Military/Veterans
BE-06-03-00-00,"Education benefits for veterans and military",Administrative Law,Military/Veterans
BE-07-00-00-00,"Old Age Public Benefits",Administrative Law,Social Security/SSI
BE-07-01-00-00,"Social Security retirement benefits",Administrative Law,Social Security/SSI
BU-00-00-00-00,"Small Business and IP",Business & Corporate,"General (Contracts Business Organization)"
BU-01-00-00-00,"Business and Occupational Licenses",Administrative Law,Professional Licensing
BU-01-01-00-00,"Child Care and Day Care Licenses",Administrative Law,Professional Licensing
BU-01-01-01-00,"Exemptions for Child Care Licenses",Administrative Law,Professional Licensing
BU-01-01-02-00,"Getting a Child Care License",Administrative Law,Professional Licensing
BU-01-02-00-00,"Business Licenses",Administrative Law,Professional Licensing
BU-02-00-00-00,"Economic Development",Business & Corporate,"General (Contracts Business Organization)"
BU-03-00-00-00,"Running a farm business",Business & Corporate,Agriculture/Farm
BU-04-00-00-00,"Intellectual Property",Intellectual Property,Trademark/Copyright
BU-04-01-00-00,"Copyright of written or artistic works",Intellectual Property,Trademark/Copyright
BU-04-02-00-00,"Patents for an invention",Intellectual Property,Patent (Reg Patent Attys Only)
BU-04-03-00-00,"Trademarks for names and logos",Intellectual Property,Trademark/Copyright
BU-05-00-00-00,"Running a For-Profit Business",Business & Corporate,"General (Contracts Business Organization)"
BU-05-01-00-00,"Incorporating and Dissolving a for-profit business",Business & Corporate,"General (Contracts Business Organization)"
BU-05-02-00-00,"Starting a for-profit business",Business & Corporate,"General (Contracts Business Organization)"
BU-05-03-00-00,"Finances of a for-profit business",Business & Corporate,"General (Contracts Business Organization)"
BU-05-04-00-00,"Taxes for a for-profit business",Taxation,Business & Corporate
BU-05-04-01-00,"Sales taxes",Taxation,Business & Corporate
BU-06-00-00-00,"Running a Nonprofit",Business & Corporate,Non-Profit
BU-07-00-00-00,"Help for Small Businesses after a Disaster",Business & Corporate,"General (Contracts Business Organization)"
BU-10-00-00-00,"Running an Arts/Entertainment Business",Business & Corporate,Entertainment
CO-00-00-00-00,"Courts and Lawyers",General Litigation,General Litigation
CO-01-00-00-00,"Getting and having a lawyer",General Litigation,Malpractice-Legal
CO-02-00-00-00,"Legal Help Resources to deal with legal issues",General Litigation,General Litigation
CO-02-01-00-00,"Websites and technology for legal help",Intellectual Property,Computer Law & Internet Law
CO-02-01-01-00,"Bar Association legal help websites",Intellectual Property,Computer Law & Internet Law
CO-02-02-00-00,"Community resources for legal problems",General Litigation,General Litigation
CO-02-03-00-00,"Court-based legal help centers",General Litigation,General Litigation
CO-02-04-00-00,"Filling out forms and other legal documents",General Litigation,General Litigation
CO-03-00-00-00,"Representing oneself without a lawyer",Family Law,Pro Se Coaching
CO-03-01-00-00,"Judges' behavior with self-represented litigants",General Litigation,General Litigation
CO-03-02-00-00,"Court programs for self-represented litigants",General Litigation,General Litigation
CO-03-03-00-00,"Education on how to represent oneself",General Litigation,General Litigation
CO-04-00-00-00,"Administrative agency requests and hearings",Administrative Law,General (State)
CO-04-02-00-00,"Hearings challenging public benefits decisions",Administrative Law,General (State)
CO-04-03-00-00,"Hearing for labor issues and unemployment claims",Labor & Employment,General
CO-04-04-00-00,"Hearing with Social Security Administration",Administrative Law,Social Security/SSI
CO-04-05-00-00,"Agencies not following court decisions (Nonacquiescence)",Administrative Law,General (Federal)
CO-05-00-00-00,"Evidence for a court case",General Litigation,General Litigation
CO-05-01-00-00,"Privileged material and evidence rules",General Litigation,General Litigation
CO-06-00-00-00,"Legal Research",General Litigation,General Litigation
CO-07-00-00-00,"Going to court and dealing with procedure",General Litigation,General Litigation
CO-07-01-00-00,"Alternative Dispute Resolution, Mediation, and Settlements",General Litigation,General Litigation
CO-07-02-00-00,"Appealing a court's judgment",General Litigation,General Litigation
CO-07-02-01-00,"Standards for reviewing an appeal",General Litigation,General Litigation
CO-07-02-02-00,"Appealing a judge's ruling through Mandamus",General Litigation,General Litigation
CO-07-02-03-00,"Standards of review for appealed cases",General Litigation,General Litigation
CO-07-03-00-00,"Court's ability to hear, refuse, or move a case",General Litigation,General Litigation
CO-07-03-01-00,"Estoppel to stop an issue being raised again",General Litigation,General Litigation
CO-07-03-02-00,"Court Abstaining from hearing a case",General Litigation,General Litigation
CO-07-03-03-00,"Immunity from lawsuits or prosecution",General Litigation,Civil Rights
CO-07-03-03-01,"Government's Sovereign Immunity from lawsuits",General Litigation,Tort Claims Act
CO-07-03-03-02,"Government officials' Qualified Immunity from lawsuits",General Litigation,Civil Rights
CO-07-03-04-00,"Court's Jurisdiction to hear a case",General Litigation,General Litigation
CO-07-03-04-01,"Court's decision whether there is a case and controversy",General Litigation,General Litigation
CO-07-03-04-02,"Court's jurisdiction when parties come from different states",General Litigation,General Litigation
CO-07-03-04-03,"Federal court's jurisdiction to hear federal questions",General Litigation,General Litigation
CO-07-03-04-04,"Federal court's ability to hear a state law question",General Litigation,General Litigation
CO-07-03-04-05,"Court's personal jurisdiction over parties",General Litigation,General Litigation
CO-07-03-04-06,"Court's decision whether a case is moot",General Litigation,General Litigation
CO-07-03-04-07,"Court's decision whether a case is ripe",General Litigation,General Litigation
CO-07-03-05-00,"Litigant's exhaustion of remedies in original court",General Litigation,General Litigation
CO-07-03-06-00,"Removing a case from state to federal court",General Litigation,General Litigation
CO-07-03-07-00,"Res Judicata to stop a claim being raised again",General Litigation,General Litigation
CO-07-03-08-00,"Standing of a person to bring a lawsuit",General Litigation,General Litigation
CO-07-03-09-00,"Statute of Limitation to bring a lawsuit",General Litigation,General Litigation
CO-07-03-09-01,"Computation of time for statutes of limitation",General Litigation,General Litigation
CO-07-03-09-02,"Waiving a statute of limitations",General Litigation,General Litigation
CO-07-03-10-00,"Transferring a case to another venue",General Litigation,General Litigation
CO-07-04-00-00,"Judge's powers and behavior",General Litigation,General Litigation
CO-07-04-01-00,"Bias by a judge",General Litigation,General Litigation
CO-07-04-02-00,"Judge's discretion in a case",General Litigation,General Litigation
CO-07-05-00-00,"Judgments, Settlements, and Appeals of court cases",General Litigation,General Litigation
CO-07-05-01-00,"Consent Decrees or Settlements of a case",General Litigation,General Litigation
CO-07-05-02-00,"Default Judgment against one party",Debtor/Creditor,Judgement Collection
CO-07-05-03-00,"Enforcing a court's judgment",Debtor/Creditor,Judgement Collection
CO-07-05-03-01,"Enforcing a judgment in another jurisdiction",Debtor/Creditor,Judgement Collection
CO-07-05-03-02,"Contempt for not following a judgment",General Litigation,General Litigation
CO-07-05-04-00,"Declaratory judgment about a case",General Litigation,General Litigation
CO-07-05-05-00,"Summary Judgment for one party before a trial's end",General Litigation,General Litigation
CO-07-06-00-00,"Court costs and fees",General Litigation,General Litigation
CO-07-06-01-00,"Court fee waivers (in forma pauperis)",General Litigation,General Litigation
CO-07-07-00-00,"Claiming Money (Damages) in a lawsuit",General Litigation,Personal Injury
CO-07-08-00-00,"Processing Delays by an administrative agency",Administrative Law,General (Federal)
CO-07-09-00-00,"Discovery process to get evidence from other side",General Litigation,General Litigation
CO-07-09-01-00,"Depositions of witnesses",General Litigation,General Litigation
CO-07-09-02-00,"Expert witness discovery before a trial",General Litigation,General Litigation
CO-07-09-03-00,"Extending time for discovery process",General Litigation,General Litigation
CO-07-09-04-00,"Interrogatory request during discovery",General Litigation,General Litigation
CO-07-09-05-00,"Non-compliance with Discovery rules",General Litigation,General Litigation
CO-07-09-06-00,"Privileged information protected from Discovery",General Litigation,General Litigation
CO-07-09-07-00,"Turning over documents during Discovery",General Litigation,General Litigation
CO-07-09-08-00,"Sanctions for discovery violations",General Litigation,General Litigation
CO-07-10-00-00,"Due Process rights when dealing with the government",General Litigation,Civil Rights
CO-07-10-01-00,"Due Process rights in an administrative agency hearing",Administrative Law,General (State)
CO-07-10-02-00,"Rights against government depriving one of liberty",General Litigation,Civil Rights
CO-07-10-03-00,"Rights against government depriving one of property",General Litigation,Civil Rights
CO-07-10-04-00,"Remedies if government violates one's due process",General Litigation,Civil Rights
CO-07-11-00-00,"Juries",General Litigation,General Litigation
CO-07-12-00-00,"Filing and Serving pleadings, forms, and court paperwork",General Litigation,General Litigation
CO-07-12-01-00,"Serving court papers on other party",General Litigation,General Litigation
CO-07-12-02-00,"Waiver of service of court papers",General Litigation,General Litigation
CO-07-13-00-00,"Rules of civil procedure",General Litigation,General Litigation
CO-07-14-00-00,"Transcripts and Recordings of legal proceedings",General Litigation,General Litigation
CO-07-15-00-00,"Remote court hearings by video or phone",General Litigation,General Litigation
CO-07-16-00-00,"Hearing preparation and basics",General Litigation,General Litigation
CO-08-00-00-00,"Rule- and law-making procedures",Administrative Law,General (Federal)
CO-08-01-00-00,"Proposing a rules change for an administrative agency",Administrative Law,General (Federal)
CO-08-02-00-00,"Notices and Public Comment on proposed government rules",Administrative Law,General (Federal)
CO-09-00-00-00,"Finding and hiring a lawyer",General Litigation,Malpractice-Legal
CO-09-01-00-00,"Having a free lawyer appointed",General Litigation,General Litigation
CO-09-02-00-00,"Lawyer's fees and payments",General Litigation,Malpractice-Legal
CO-09-02-02-00,"Hourly Rates of a lawyer",General Litigation,Malpractice-Legal
CO-09-02-03-00,"Costs that lawyers are allowed to charge",General Litigation,Malpractice-Legal
CO-09-02-04-00,"Having other party pay attorney fees",General Litigation,General Litigation
CO-09-02-04-01,"Attorney fees award after consent decree or settlement",General Litigation,General Litigation
CO-09-02-04-02,"Computing attorney's fees to be paid from one party to another",General Litigation,General Litigation
CO-09-02-04-03,"Having the government pay attorney fees",General Litigation,Tort Claims Act
CO-09-03-00-00,"Attorney-Client Privilege",General Litigation,Malpractice-Legal
CO-09-04-00-00,"Establishing a lawyer-client relationship",General Litigation,Malpractice-Legal
CO-09-04-01-00,"Conflicts of Interest check for a lawyer and client",General Litigation,Malpractice-Legal
