Category,Subcategory
General Litigation,Child Abuse Victims
General Litigation,Civil Rights
General Litigation,Crime Victims
General Litigation,General Litigation
General Litigation,General Torts/Privacy
General Litigation,Property Damage
General Litigation,Stalking Orders
General Litigation,Insurance (Liability)
General Litigation,Malpractice (Legal)
General Litigation,Malpractice (Medical)
General Litigation,Neighbor Disputes/Nuisance
General Litigation,Tort Claims Act
General Litigation,Health Law/HIPAA
General Litigation,Aviation
General Litigation,Products Liability
General Litigation,Actions Against Police
General Litigation,Animal Law
General Litigation,Libel/Slander/Defamation
General Litigation,Insurance (Health/Disability)
General Litigation,Services for Plaintiffs and Defendants
General Litigation,Mold Claims
General Litigation,Malpractice (Dental)
General Litigation,Other
General Litigation,Maritime
General Litigation,Wrongful Death
General Litigation,Personal Injury
General Litigation,Online Harrassment/Doxing/Bullying
General Litigation,Americans With Disabilities Act
General Litigation,Premises Liability
General Litigation,Civil Matters for Inmates
Wills & Trusts,Reversing Guardianship or Payee Assignments
Wills & Trusts,Elder Abuse
Wills & Trusts,Power of Attorney
Wills & Trusts,Other
Wills & Trusts,Conservatorship/Guardianship
Wills & Trusts,General (Wills/Trusts/Estates)
Wills & Trusts,Litigation
Wills & Trusts,Living Trusts
Wills & Trusts,Probate
Wills & Trusts,Document Review
Wills & Trusts,Long-term Care Issues
Wills & Trusts,Medicare/Medicaid Planning
Wills & Trusts,Special Needs/Inc. Cap Trusts
Family Law,Child Custody/Visitation
Family Law,Child Support/Modification
Family Law,General (Divorce/Separation etc.)
Family Law,Paternity
Family Law,Collaborative Family Law
Family Law,Grandparent/Third Party Rights
Family Law,Guardianship
Family Law,Parental Responsibility
Family Law,Prenuptial Agreements
Family Law,Restraining Orders
Family Law,Juvenile/DHS Issues
Family Law,Document Review
Family Law,Same Sex Couples and Parents
Family Law,Pro Se Coaching
Family Law,Adoption/DHS
Family Law,Terminate Parent Rights
Family Law,QDROs
Family Law,Interstate/Independent Adoption
Family Law,Emancipation
Family Law,Informal Living Arrangements
Family Law,Military
Family Law,Other
Family Law,Spousal Support
Family Law,Birth Certificate/Name Change
Family Law,Domestic Violence
Business and Corporate,Marijuana Business
Business and Corporate,Environmental
Business and Corporate,Non-Profit
Business and Corporate,Publishing
Business and Corporate,Agriculture/Farm
Business and Corporate,Construction
Business and Corporate,Sale Of Business
Business and Corporate,Entertainment
Business and Corporate,"General (contracts, entities)"
Business and Corporate,Other
Business and Corporate,Litigation
Business and Corporate,Restaurants/OLCC
Business and Corporate,Franchise
Business and Corporate,Securities
Bankruptcy,Business
Bankruptcy,Creditors
Bankruptcy,Document Review
Bankruptcy,Farm
Bankruptcy,Personal
Bankruptcy,Pro Se Coaching
Bankruptcy,Other
Taxation,Other
Taxation,Business & Corporate
Taxation,Criminal
Taxation,Estate & Gift
Taxation,Litigation
Taxation,Personal Income
Administrative Law,General (Federal)
Administrative Law,General (State)
Administrative Law,PERS
Administrative Law,Schools — Special Needs Education
Administrative Law,Student Rights
Administrative Law,Professional Licensing
Administrative Law,General (Local/Municipal)
Administrative Law,Unemployment
Administrative Law,DMV (Non-Criminal)
Administrative Law,Other
Administrative Law,Transportation
Administrative Law,Utilities
Administrative Law,Social Security/SSI
Administrative Law,SSD
Administrative Law,Medicare/Medicaid
Administrative Law,Military/Veterans
Administrative Law,Welfare
Administrative Law,Environmental
Debtor/Creditor,Judgment Collection
Debtor/Creditor,Other
Debtor/Creditor,Collection/Harassment
Debtor/Creditor,Debt Counseling/Workouts
Debtor/Creditor,General (Debtor)
Debtor/Creditor,Student Loans
Debtor/Creditor,General (Creditor)
Real Property,Litigation
Real Property,Environmental
Real Property,Foreclosure
Real Property,"Government Loans (VA, FHA, etc.)"
Real Property,Mining Oil & Gas
Real Property,Other
Real Property,Mobile Home (Tenant/Owner)
Real Property,Property Tax
Real Property,Water Law
Real Property,General (Residential)
Real Property,Landlord Commercial
Real Property,Landlord Residential
Real Property,Tenant (Commercial)
Real Property,Tenant (Residential)
Real Property,Agriculture/Farm
Real Property,Construction/Contractors
Real Property,General (Commercial)
Real Property,Homeowners Assoc
Real Property,Land Use/Zoning
Real Property,Condemnation
Real Property,Mobile Home (Landlord)
Real Property,ADA Issues/Animals/Accommodations
Real Property,Eminent Domain
Real Property,Section 8/HUD
Criminal Law,Gun Rights
Criminal Law,Traffic Offenses - CDL Drivers
Criminal Law,Clemency
Criminal Law,Relief From Sex Offender Registration
Criminal Law,Capital Murder
Criminal Law,Forfeiture
Criminal Law,Game Violations
Criminal Law,Lesser Felony
Criminal Law,Major Felony
Criminal Law,Mental Commitment
Criminal Law,Non-Capital Murder
Criminal Law,Post Conviction/Appeals
Criminal Law,DMV (DUII Related)
Criminal Law,DUII/DWS
Criminal Law,Expunction
Criminal Law,Juvenile Offender
Criminal Law,Local Ordinances
Criminal Law,Misdemeanor
Criminal Law,Other
Criminal Law,Parole/Probation
Criminal Law,Traffic Offenses
Criminal Law,White Collar Crime
Labor & Employment,ADA (Disability) Act Issues - Employee
Labor & Employment,ADA (Disability) Act Issues - Employer
Labor & Employment,Discrimination - Employee
Labor & Employment,Discrimination - Employer
Labor & Employment,General - Employee
Labor & Employment,General - Employer
Labor & Employment,Public Employees - Employee
Labor & Employment,Public Employees - Employer
Labor & Employment,Wage and Hour Claims - Employee
Labor & Employment,Wage and Hour Claims - Employer
Labor & Employment,Whistleblowers - Employee
Labor & Employment,Whistleblowers - Employer
Labor & Employment,Wrongful Discharge - Employee
Labor & Employment,Wrongful Discharge - Employer
Labor & Employment,FLSA - Employee
Labor & Employment,FMLA - Employee
Labor & Employment,FMLA - Employer
Labor & Employment,FLSA - Employer
Labor & Employment,Pensions/Benefits/ERISA - Employee
Labor & Employment,Pensions/Benefits/ERISA - Employer
Labor & Employment,Union Issues - Employee
Labor & Employment,Union Issues - Employer
Labor & Employment,Document Review/Severance Packages - Employer
Labor & Employment,Sexual Harassment - Employee
Labor & Employment,Sexual Harassment - Employer
Labor & Employment,Document Review/Severance Packages - Employee
Labor & Employment,Other
Consumer Law,Other
Consumer Law,Banking
Consumer Law,Vehicle Towing
Consumer Law,Storage Units
Consumer Law,General
Consumer Law,Identity Theft
Consumer Law,Insurance
Consumer Law,Problems Between Consumers
Consumer Law,Automobiles/RV's/Mobile Homes
Consumer Law,Mortgage Issues (non-foreclosure)
Consumer Law,Small Claims Advice
International Law,Family Law
International Law,General Immigration/Visas
International Law,Other
International Law,Business And Corporate
International Law,Import/Export Regulation
International Law,Customs Quotas & Duties
International Law,Litigation
International Law,Deportation
International Law,Taxation
Intellectual Property,Computer Law & Internet Law
Intellectual Property,Other
Intellectual Property,Patent (Reg Patent Attys Only)
Intellectual Property,Entertainment
Intellectual Property,Trademark/Copyright
Workers' Comp,State
Workers' Comp,Third Party Litigation
Workers' Comp,Federal
Workers' Comp,LHWA
Workers' Comp,Other
Workers' Comp,Employers
Workers' Comp,Stress Related